 SpectraID,                     Time,     [C2H2]_ppm,  [C2H2]_ppm_sd,    [C2H4]0_ppm, [C2H4]0_ppm_sd,    [C2H4]_perc, [C2H4]_perc_sd,      [NH3]_ppm,   [NH3]_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,       RD0_r_us,    RD0_r_us_sd,         RD1_us,      RD1_us_sd,       RD1_r_us,    RD1_r_us_sd,        CavHT_C,     CavHT_C_sd,        FilHT_C,     FilHT_C_sd,     GasExpHT_C,  GasExpHT_C_sd,        OrfHT_C,     OrfHT_C_sd,        TubHT_C,     TubHT_C_sd,      InletHT_C,   InletHT_C_sd,    Temp_Status, Temp_Status_sd,Analyzer_Status,Analyzer_Status_sd,            Gnd,         Gnd_sd,         LTC0_b,      LTC0_b_sd,         LTC0_v,      LTC0_v_sd,             HZ,          HZ_sd,           BL0T,        BL0T_sd,           BL1T,        BL1T_sd,           BL2F,        BL2F_sd,           BL3F,        BL3F_sd,   bC2H4_0_AMPT,bC2H4_0_AMPT_sd,   bC2H4_0_SHFT,bC2H4_0_SHFT_sd,   bC2H4_0_STRT,bC2H4_0_STRT_sd,    bNH3_0_AMPT, bNH3_0_AMPT_sd,    bNH3_0_SHFF, bNH3_0_SHFF_sd,    bNH3_0_STRF, bNH3_0_STRF_sd,   bC2H2_0_AMPT,bC2H2_0_AMPT_sd,   bC2H2_0_SHFF,bC2H2_0_SHFF_sd,   bC2H2_0_STRF,bC2H2_0_STRF_sd,bC2H2_10_0_AMPT,bC2H2_10_0_AMPT_sd,bC2H2_10_0_SHFF,bC2H2_10_0_SHFF_sd,bC2H2_10_0_STRF,bC2H2_10_0_STRF_sd,       Fit_Flag,   N_Fits_Avg'd,      MIU_VALVE,       MIU_DESC
        25,  2016/12/08 10:31:00.847,    1.00315e+01,    0.00000e+00,    1.00253e+06,    0.00000e+00,    1.00253e+02,    0.00000e+00,    2.71257e-03,    0.00000e+00,    6.05067e+01,    0.00000e+00,    4.99186e+01,    0.00000e+00,    2.50000e+01,    0.00000e+00,    8.35000e+00,    0.00000e+00,    8.35000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,    2.00000e+01,    0.00000e+00,    1.40000e+01,    0.00000e+00,    1.22427e-01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.84800e+00,    0.00000e+00,    1.56250e+01,    0.00000e+00,    2.09196e+00,    0.00000e+00,   -8.37450e-03,    0.00000e+00,   -4.35000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.00353e+00,    0.00000e+00,   -1.41306e+00,    0.00000e+00,    1.00015e+00,    0.00000e+00,    5.35552e-04,    0.00000e+00,   -1.41306e+00,    0.00000e+00,    1.00015e+00,    0.00000e+00,    3.33885e-01,    0.00000e+00,   -1.42106e+00,    0.00000e+00,    1.00015e+00,    0.00000e+00,    1.01876e+00,    0.00000e+00,   -1.41306e+00,    0.00000e+00,    1.00015e+00,    0.00000e+00,              3,              1,             -1,       Disabled
        26,  2016/12/08 10:31:01.849,    1.00318e+01,    0.00000e+00,    1.00206e+06,    0.00000e+00,    1.00206e+02,    0.00000e+00,   -4.38993e-03,    0.00000e+00,    6.05077e+01,    0.00000e+00,    4.99171e+01,    0.00000e+00,    2.50000e+01,    0.00000e+00,    8.35000e+00,    0.00000e+00,    8.35000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,    2.00000e+01,    0.00000e+00,    1.40000e+01,    0.00000e+00,    1.22317e-01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.84800e+00,    0.00000e+00,    1.09890e+01,    0.00000e+00,    2.09155e+00,    0.00000e+00,   -8.36092e-03,    0.00000e+00,   -4.35000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.00306e+00,    0.00000e+00,   -1.41292e+00,    0.00000e+00,    1.00020e+00,    0.00000e+00,   -8.66718e-04,    0.00000e+00,   -1.41292e+00,    0.00000e+00,    1.00020e+00,    0.00000e+00,    3.02536e-01,    0.00000e+00,   -1.42092e+00,    0.00000e+00,    1.00020e+00,    0.00000e+00,    1.02698e+00,    0.00000e+00,   -1.41292e+00,    0.00000e+00,    1.00020e+00,    0.00000e+00,              3,              1,             -1,       Disabled
        27,  2016/12/08 10:31:02.850,    1.00342e+01,    0.00000e+00,    1.00253e+06,    0.00000e+00,    1.00253e+02,    0.00000e+00,    3.66559e-03,    0.00000e+00,    6.05067e+01,    0.00000e+00,    4.99184e+01,    0.00000e+00,    2.50000e+01,    0.00000e+00,    8.35000e+00,    0.00000e+00,    8.35000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,    2.00000e+01,    0.00000e+00,    1.40000e+01,    0.00000e+00,    1.22430e-01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.84800e+00,    0.00000e+00,    1.19048e+01,    0.00000e+00,    2.09201e+00,    0.00000e+00,   -8.36446e-03,    0.00000e+00,   -4.35000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.00353e+00,    0.00000e+00,   -1.41390e+00,    0.00000e+00,    1.00016e+00,    0.00000e+00,    7.23710e-04,    0.00000e+00,   -1.41390e+00,    0.00000e+00,    1.00016e+00,    0.00000e+00,    3.25838e-01,    0.00000e+00,   -1.42190e+00,    0.00000e+00,    1.00016e+00,    0.00000e+00,    1.02116e+00,    0.00000e+00,   -1.41390e+00,    0.00000e+00,    1.00016e+00,    0.00000e+00,              3,              1,             -1,       Disabled
        28,  2016/12/08 10:31:03.852,    1.00317e+01,    0.00000e+00,    1.00242e+06,    0.00000e+00,    1.00242e+02,    0.00000e+00,    9.65941e-03,    0.00000e+00,    6.05074e+01,    0.00000e+00,    4.99169e+01,    0.00000e+00,    2.50000e+01,    0.00000e+00,    8.35000e+00,    0.00000e+00,    8.35000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,    2.00000e+01,    0.00000e+00,    1.40000e+01,    0.00000e+00,    1.22464e-01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.84800e+00,    0.00000e+00,    1.31579e+01,    0.00000e+00,    2.09166e+00,    0.00000e+00,   -8.37730e-03,    0.00000e+00,   -4.35000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.00343e+00,    0.00000e+00,   -1.41270e+00,    0.00000e+00,    1.00006e+00,    0.00000e+00,    1.90709e-03,    0.00000e+00,   -1.41270e+00,    0.00000e+00,    1.00006e+00,    0.00000e+00,    2.91070e-01,    0.00000e+00,   -1.42070e+00,    0.00000e+00,    1.00006e+00,    0.00000e+00,    1.02997e+00,    0.00000e+00,   -1.41270e+00,    0.00000e+00,    1.00006e+00,    0.00000e+00,              3,              1,             -1,       Disabled
        29,  2016/12/08 10:31:04.853,    1.00327e+01,    0.00000e+00,    1.00247e+06,    0.00000e+00,    1.00247e+02,    0.00000e+00,    1.52631e-02,    0.00000e+00,    6.05061e+01,    0.00000e+00,    4.99181e+01,    0.00000e+00,    2.50000e+01,    0.00000e+00,    8.35000e+00,    0.00000e+00,    8.35000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,    2.00000e+01,    0.00000e+00,    1.40000e+01,    0.00000e+00,    1.22479e-01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.84800e+00,    0.00000e+00,    1.44928e+01,    0.00000e+00,    2.09173e+00,    0.00000e+00,   -8.37402e-03,    0.00000e+00,   -4.35000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.00348e+00,    0.00000e+00,   -1.41452e+00,    0.00000e+00,    1.00009e+00,    0.00000e+00,    3.01344e-03,    0.00000e+00,   -1.41452e+00,    0.00000e+00,    1.00009e+00,    0.00000e+00,    3.30531e-01,    0.00000e+00,   -1.42252e+00,    0.00000e+00,    1.00009e+00,    0.00000e+00,    1.01978e+00,    0.00000e+00,   -1.41452e+00,    0.00000e+00,    1.00009e+00,    0.00000e+00,              3,              1,             -1,       Disabled
        30,  2016/12/08 10:31:05.853,    1.00314e+01,    0.00000e+00,    1.00250e+06,    0.00000e+00,    1.00250e+02,    0.00000e+00,    1.22583e-02,    0.00000e+00,    6.05070e+01,    0.00000e+00,    4.99169e+01,    0.00000e+00,    2.50000e+01,    0.00000e+00,    8.35000e+00,    0.00000e+00,    8.35000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,    2.00000e+01,    0.00000e+00,    1.40000e+01,    0.00000e+00,    1.22406e-01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.84800e+00,    0.00000e+00,    1.38889e+01,    0.00000e+00,    2.09204e+00,    0.00000e+00,   -8.36916e-03,    0.00000e+00,   -4.35000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.00350e+00,    0.00000e+00,   -1.41349e+00,    0.00000e+00,    1.00014e+00,    0.00000e+00,    2.42020e-03,    0.00000e+00,   -1.41349e+00,    0.00000e+00,    1.00014e+00,    0.00000e+00,    3.46274e-01,    0.00000e+00,   -1.42149e+00,    0.00000e+00,    1.00014e+00,    0.00000e+00,    1.01552e+00,    0.00000e+00,   -1.41349e+00,    0.00000e+00,    1.00014e+00,    0.00000e+00,              3,              1,             -1,       Disabled
        31,  2016/12/08 10:31:06.855,    1.00300e+01,    0.00000e+00,    1.00232e+06,    0.00000e+00,    1.00232e+02,    0.00000e+00,    8.16842e-03,    0.00000e+00,    6.05080e+01,    0.00000e+00,    4.99179e+01,    0.00000e+00,    2.50000e+01,    0.00000e+00,    8.35000e+00,    0.00000e+00,    8.35000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,    2.00000e+01,    0.00000e+00,    1.40000e+01,    0.00000e+00,    1.22360e-01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.84800e+00,    0.00000e+00,    1.56250e+01,    0.00000e+00,    2.09156e+00,    0.00000e+00,   -8.37184e-03,    0.00000e+00,   -4.35000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.00333e+00,    0.00000e+00,   -1.41343e+00,    0.00000e+00,    1.00012e+00,    0.00000e+00,    1.61272e-03,    0.00000e+00,   -1.41343e+00,    0.00000e+00,    1.00012e+00,    0.00000e+00,    3.52512e-01,    0.00000e+00,   -1.42143e+00,    0.00000e+00,    1.00012e+00,    0.00000e+00,    1.01373e+00,    0.00000e+00,   -1.41343e+00,    0.00000e+00,    1.00012e+00,    0.00000e+00,              3,              1,             -1,       Disabled
        32,  2016/12/08 10:31:07.856,    1.00373e+01,    0.00000e+00,    1.00273e+06,    0.00000e+00,    1.00273e+02,    0.00000e+00,    1.01719e-02,    0.00000e+00,    6.05070e+01,    0.00000e+00,    4.99174e+01,    0.00000e+00,    2.50000e+01,    0.00000e+00,    8.35000e+00,    0.00000e+00,    8.35000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,    2.00000e+01,    0.00000e+00,    1.40000e+01,    0.00000e+00,    1.22513e-01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.84800e+00,    0.00000e+00,    1.47059e+01,    0.00000e+00,    2.09212e+00,    0.00000e+00,   -8.36930e-03,    0.00000e+00,   -4.35000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.00374e+00,    0.00000e+00,   -1.41409e+00,    0.00000e+00,    1.00014e+00,    0.00000e+00,    2.00827e-03,    0.00000e+00,   -1.41409e+00,    0.00000e+00,    1.00014e+00,    0.00000e+00,    2.73091e-01,    0.00000e+00,   -1.42209e+00,    0.00000e+00,    1.00014e+00,    0.00000e+00,    1.03529e+00,    0.00000e+00,   -1.41409e+00,    0.00000e+00,    1.00014e+00,    0.00000e+00,              3,              1,             -1,       Disabled
        33,  2016/12/08 10:31:08.857,    1.00345e+01,    0.00000e+00,    1.00258e+06,    0.00000e+00,    1.00258e+02,    0.00000e+00,    3.72953e-04,    0.00000e+00,    6.05074e+01,    0.00000e+00,    4.99184e+01,    0.00000e+00,    2.50000e+01,    0.00000e+00,    8.35000e+00,    0.00000e+00,    8.35000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,    2.00000e+01,    0.00000e+00,    1.40000e+01,    0.00000e+00,    1.22476e-01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.84800e+00,    0.00000e+00,    1.19048e+01,    0.00000e+00,    2.09193e+00,    0.00000e+00,   -8.36696e-03,    0.00000e+00,   -4.35000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.00359e+00,    0.00000e+00,   -1.41346e+00,    0.00000e+00,    1.00012e+00,    0.00000e+00,    7.36333e-05,    0.00000e+00,   -1.41346e+00,    0.00000e+00,    1.00012e+00,    0.00000e+00,    2.99641e-01,    0.00000e+00,   -1.42146e+00,    0.00000e+00,    1.00012e+00,    0.00000e+00,    1.02804e+00,    0.00000e+00,   -1.41346e+00,    0.00000e+00,    1.00012e+00,    0.00000e+00,              3,              1,             -1,       Disabled
        34,  2016/12/08 10:31:09.858,    1.00323e+01,    0.00000e+00,    1.00239e+06,    0.00000e+00,    1.00239e+02,    0.00000e+00,    6.28306e-03,    0.00000e+00,    6.05070e+01,    0.00000e+00,    4.99164e+01,    0.00000e+00,    2.50000e+01,    0.00000e+00,    8.35000e+00,    0.00000e+00,    8.35000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -2.50000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,   -5.00000e+01,    0.00000e+00,    2.00000e+01,    0.00000e+00,    1.40000e+01,    0.00000e+00,    1.22458e-01,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.84800e+00,    0.00000e+00,    1.53846e+01,    0.00000e+00,    2.09163e+00,    0.00000e+00,   -8.37175e-03,    0.00000e+00,   -4.35000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    1.00340e+00,    0.00000e+00,   -1.41452e+00,    0.00000e+00,    1.00005e+00,    0.00000e+00,    1.24048e-03,    0.00000e+00,   -1.41452e+00,    0.00000e+00,    1.00005e+00,    0.00000e+00,    2.64162e-01,    0.00000e+00,   -1.42252e+00,    0.00000e+00,    1.00005e+00,    0.00000e+00,    1.03707e+00,    0.00000e+00,   -1.41452e+00,    0.00000e+00,    1.00005e+00,    0.00000e+00,              3,              1,             -1,       Disabled
